,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Itanagar,27.1,93.6167,295.09,98,52,1.24,IN,1622566527
1,Alexander City,32.944,-85.9539,302.01,61,1,2.57,US,1622566420
2,Upernavik,72.7868,-56.1549,272.86,85,54,1.53,GL,1622566528
3,Port Alfred,-33.5906,26.891,290.13,82,100,5.87,ZA,1622566451
4,Srīsailain,16.0833,78.8667,304.39,46,89,0.66,IN,1622566528
5,Atuona,-9.8,-139.0333,299.56,77,22,7.26,PF,1622566528
6,Narón,43.5167,-8.1528,293.1,79,23,5.96,ES,1622566529
7,Albany,42.6001,-73.9662,296.56,50,100,1.41,US,1622566529
8,Bethel,41.3712,-73.414,297.65,55,100,0.45,US,1622566529
9,Matagami,49.7502,-77.6328,293.21,37,40,4.44,CA,1622566530
10,Kavieng,-2.5744,150.7967,298.23,90,100,2.94,PG,1622566530
11,Tautira,-17.7333,-149.15,297.16,63,67,5.82,PF,1622566530
12,Cockburn Town,21.4612,-71.1419,301.13,69,40,5.66,TC,1622566525
13,Cap Malheureux,-19.9842,57.6142,294.42,75,90,7.75,MU,1622566531
14,Jarabacoa,19.1218,-70.6422,301.71,56,93,4.08,DO,1622566531
15,Yellowknife,62.456,-114.3525,286.64,87,90,2.57,CA,1622566531
16,Butaritari,3.0707,172.7902,301.09,82,81,7.48,KI,1622566532
17,La Asuncion,11.0333,-63.8628,307.0,52,59,7.74,VE,1622566532
18,Mataura,-46.1927,168.8643,282.86,83,98,1.75,NZ,1622566532
19,Coahuayana Viejo,18.7333,-103.6833,306.96,48,88,2.56,MX,1622566533
20,Sitka,57.0531,-135.33,284.09,87,90,2.57,US,1622566533
21,Rikitea,-23.1203,-134.9692,295.15,55,61,9.71,PF,1622566533
22,Geraldton,-28.7667,114.6,285.38,87,0,3.91,AU,1622566533
23,Rzhaksa,52.1338,42.0264,286.53,76,100,4.15,RU,1622566534
24,Pevek,69.7008,170.3133,275.36,68,10,1.03,RU,1622566534
25,Teya,60.3778,92.6267,285.89,57,98,2.4,RU,1622566534
26,Hermanus,-34.4187,19.2345,288.09,80,7,1.6,ZA,1622566535
27,Vaini,-21.2,-175.2,294.24,100,90,2.06,TO,1622566535
28,La Santisima Trinidad,-14.8333,-64.9,299.14,69,76,0.0,BO,1622566535
29,Bonfim,3.0833,-59.95,299.28,81,100,2.69,BR,1622566536
30,Qaanaaq,77.484,-69.3632,272.78,82,98,1.14,GL,1622566536
31,Puerto Ayora,-0.7393,-90.3518,297.9,86,95,2.24,EC,1622566536
32,Tuatapere,-46.1333,167.6833,283.05,85,79,2.35,NZ,1622566536
33,Barrow,71.2906,-156.7887,272.16,80,90,8.23,US,1622566537
34,Yumen,40.2833,97.2,291.18,14,83,3.03,CN,1622566537
35,Andreapol',56.6513,32.2664,286.86,57,53,1.87,RU,1622566537
36,Port Hedland,-20.3167,118.5667,293.18,45,96,4.12,AU,1622566538
37,Port Elizabeth,-33.918,25.5701,289.31,82,20,6.69,ZA,1622566538
38,Kapaa,22.0752,-159.319,297.14,97,40,2.63,US,1622566538
39,Alofi,-19.0595,-169.9187,297.09,94,75,1.54,NU,1622566539
40,Severo-Kuril'sk,50.6789,156.125,276.82,95,100,2.01,RU,1622566539
41,Saskylakh,71.9167,114.0833,275.21,82,100,3.24,RU,1622566539
42,Ushuaia,-54.8,-68.3,271.96,100,75,6.17,AR,1622566295
43,Presidente Médici,-11.1753,-61.9014,303.65,53,100,1.21,BR,1622566540
44,Vila Franca do Campo,37.7167,-25.4333,291.38,61,15,6.86,PT,1622566540
45,Karratha,-20.7377,116.8463,295.14,30,91,7.34,AU,1622566540
46,Ahipara,-35.1667,173.1667,286.34,85,29,3.74,NZ,1622566541
47,Vila Velha,-20.3297,-40.2925,299.79,68,40,0.45,BR,1622566541
48,Namatanai,-3.6667,152.4333,298.36,90,100,2.61,PG,1622566541
49,Tuktoyaktuk,69.4541,-133.0374,273.15,86,90,3.6,CA,1622566542
50,Hilo,19.7297,-155.09,297.94,92,32,1.34,US,1622566542
51,Pangnirtung,66.1451,-65.7125,278.15,56,90,3.6,CA,1622566542
52,Punta Arenas,-53.15,-70.9167,274.21,80,75,1.27,CL,1622566542
53,Taggia,43.8485,7.8545,297.13,42,89,1.59,IT,1622566543
54,Nuuk,64.1835,-51.7216,279.75,70,81,2.68,GL,1622566543
55,Cape Town,-33.9258,18.4232,288.38,72,0,3.96,ZA,1622565984
56,Comitancillo,15.0833,-91.7167,294.08,54,54,0.31,GT,1622566543
57,Dingle,10.9995,122.6711,297.53,96,100,4.96,PH,1622566544
58,Barra de Tecoanapa,16.5167,-98.75,304.24,63,78,3.32,MX,1622566544
59,Kuching,1.55,110.3333,299.27,89,20,1.03,MY,1622566507
60,Tazovsky,67.4667,78.7,279.64,66,44,6.56,RU,1622566544
61,Kaitangata,-46.2817,169.8464,280.89,70,84,4.44,NZ,1622566545
62,São Filipe,14.8961,-24.4956,297.02,75,99,4.84,CV,1622566545
63,Mar del Plata,-38.0023,-57.5575,291.53,50,0,0.45,AR,1622566545
64,Port Hardy,50.6996,-127.4199,288.25,88,75,1.03,CA,1622566546
65,Saint-Augustin,51.226,-58.6502,281.94,91,100,3.97,CA,1622566546
66,Provideniya,64.3833,-173.3,274.86,58,2,5.54,RU,1622566546
67,Oktyabr'skiy,54.4815,53.471,287.07,88,100,4.12,RU,1622566546
68,Bredasdorp,-34.5322,20.0403,286.77,82,23,1.47,ZA,1622566547
69,Tiksi,71.6872,128.8694,276.04,92,99,2.14,RU,1622566547
70,Huarmey,-10.0681,-78.1522,294.16,76,100,5.11,PE,1622566547
71,Hasaki,35.7333,140.8333,288.81,79,62,3.52,JP,1622566548
72,Sola,-13.8833,167.55,299.6,78,81,10.55,VU,1622566548
73,Airai,-8.9266,125.4092,287.66,95,92,0.97,TL,1622566548
74,Saint-Philippe,-21.3585,55.7679,296.92,79,57,4.89,RE,1622566549
75,Chokurdakh,70.6333,147.9167,286.06,48,8,2.8,RU,1622566549
76,Havøysund,70.9963,24.6622,281.64,98,100,7.58,NO,1622566549
77,Taltal,-25.4,-70.4833,292.6,67,12,2.19,CL,1622566550
